1	negative
2	mixed
3	negative
4	negative
5	objective
6	negative
7	negative
8	negative
9	mixed
10	negative
11	objective
12	mixed
13	negative
14	negative
15	objective
16	objective
17	negative
18	objective
19	objective
20	objective
21	objective
22	positive
23	negative
24	negative
25	objective
26	objective
27	objective
28	negative
29	negative
30	negative
31	negative
32	objective
33	negative
34	negative
35	negative
36	negative
37	objective
38	negative
39	positive
40	negative
41	negative
42	negative
43	negative
44	negative
45	negative
46	negative
47	negative
48	objective
49	negative
50	negative
51	negative
52	negative
53	negative
54	objective
55	objective
56	negative
57	objective
58	objective
59	mixed
60	objective
61	negative
62	negative
63	negative
64	objective
65	negative
66	objective
67	negative
68	negative
69	negative
70	negative
71	negative
72	objective
73	negative
74	objective
75	negative
76	negative
77	objective
78	negative
79	objective
80	negative
81	mixed
82	mixed
83	negative
84	mixed
85	negative
86	objective
87	negative
88	objective
89	positive
90	negative
91	objective
92	objective
93	objective
94	mixed
95	negative
96	objective
97	negative
98	negative
99	negative
100	negative
101	negative
102	negative
103	negative
104	negative
105	negative
106	negative
107	negative
108	mixed
109	negative
110	negative
111	negative
112	negative
113	objective
114	objective
115	objective
116	negative
117	objective
118	objective
119	objective
120	negative
121	negative
122	negative
123	negative
124	objective
125	objective
126	negative
127	objective
128	negative
129	negative
130	negative
131	negative
132	negative
133	negative
134	negative
135	objective
136	negative
137	negative
138	negative
139	objective
140	negative
141	objective
142	negative
143	objective
144	negative
145	mixed
146	mixed
147	negative
148	negative
149	negative
150	objective
151	negative
152	negative
153	negative
154	negative
155	negative
156	negative
157	mixed
158	negative
159	negative
160	mixed
161	negative
162	mixed
163	negative
164	objective
165	negative
166	negative
167	objective
168	negative
169	negative
170	negative
171	objective
172	mixed
173	negative
174	objective
175	negative
176	negative
177	negative
178	negative
179	mixed
180	objective
181	negative
182	positive
183	negative
184	mixed
185	mixed
186	mixed
187	negative
188	negative
189	negative
190	negative
191	negative
192	objective
193	negative
194	negative
195	negative
196	negative
197	mixed
198	mixed
199	negative
200	objective
201	negative
202	objective
203	negative
204	objective
205	negative
206	negative
207	negative
208	negative
209	negative
210	negative
211	negative
212	objective
213	objective
214	negative
215	negative
216	negative
217	mixed
218	negative
219	negative
220	negative
221	objective
222	negative
223	negative
224	negative
225	mixed
226	negative
227	negative
228	negative
229	objective
230	mixed
231	objective
232	negative
233	negative
234	negative
235	negative
236	negative
237	negative
238	negative
239	negative
240	objective
241	negative
242	negative
243	negative
244	negative
245	positive
246	negative
247	negative
248	negative
249	negative
250	negative
251	positive
252	negative
253	negative
254	negative
255	negative
256	negative
257	negative
258	negative
259	negative
260	negative
261	negative
262	negative
263	objective
264	positive
265	negative
266	negative
267	negative
268	negative
269	objective
270	negative
271	objective
272	negative
273	negative
274	negative
275	negative
276	negative
277	negative
278	negative
279	negative
280	negative
281	positive
282	negative
283	negative
284	objective
285	negative
286	negative
287	negative
288	negative
289	negative
290	negative
291	negative
292	objective
293	negative
294	negative
295	objective
296	objective
297	negative
298	negative
299	negative
300	negative
301	negative
302	negative
303	objective
304	negative
305	negative
306	negative
307	negative
308	negative
309	negative
310	negative
311	negative
312	negative
313	negative
314	objective
315	negative
316	objective
317	objective
318	objective
319	objective
320	objective
321	negative
322	mixed
323	mixed
324	negative
325	negative
326	negative
327	objective
328	objective
329	objective
330	negative
331	negative
332	objective
333	negative
334	negative
335	negative
336	negative
337	negative
338	objective
339	negative
340	negative
341	negative
342	negative
343	negative
344	negative
345	objective
346	negative
347	negative
348	negative
349	objective
350	negative
351	negative
352	negative
353	negative
354	mixed
355	positive
356	objective
357	mixed
