1	figurative
2	figurative
3	figurative
4	nonfigurative
5	figurative
6	figurative
7	nonfigurative
8	nonfigurative
9	nonfigurative
10	figurative
11	figurative
12	figurative
13	nonfigurative
14	nonfigurative
15	figurative
16	figurative
17	nonfigurative
18	nonfigurative
19	nonfigurative
20	nonfigurative
21	nonfigurative
22	nonfigurative
23	nonfigurative
24	nonfigurative
25	figurative
26	nonfigurative
27	nonfigurative
28	nonfigurative
29	figurative
30	nonfigurative
31	nonfigurative
32	figurative
33	nonfigurative
34	nonfigurative
35	figurative
36	figurative
37	nonfigurative
38	nonfigurative
39	nonfigurative
40	nonfigurative
41	nonfigurative
42	nonfigurative
43	nonfigurative
44	figurative
45	figurative
46	figurative
47	figurative
48	nonfigurative
49	nonfigurative
50	nonfigurative
51	figurative
52	nonfigurative
53	figurative
54	nonfigurative
55	nonfigurative
56	figurative
57	nonfigurative
58	nonfigurative
59	nonfigurative
60	nonfigurative
61	nonfigurative
62	nonfigurative
63	nonfigurative
64	figurative
65	figurative
66	nonfigurative
67	figurative
68	figurative
69	figurative
70	nonfigurative
71	figurative
72	nonfigurative
73	nonfigurative
74	nonfigurative
75	figurative
76	nonfigurative
77	figurative
78	nonfigurative
79	nonfigurative
80	nonfigurative
81	figurative
82	figurative
83	figurative
84	nonfigurative
85	figurative
86	nonfigurative
87	nonfigurative
88	nonfigurative
89	nonfigurative
90	nonfigurative
91	figurative
92	nonfigurative
93	nonfigurative
94	figurative
95	figurative
96	nonfigurative
97	nonfigurative
98	nonfigurative
99	nonfigurative
100	figurative
101	figurative
102	nonfigurative
103	nonfigurative
104	figurative
105	nonfigurative
106	nonfigurative
107	figurative
108	nonfigurative
109	nonfigurative
110	nonfigurative
111	figurative
112	nonfigurative
113	figurative
114	nonfigurative
115	nonfigurative
116	nonfigurative
117	nonfigurative
118	figurative
119	figurative
120	figurative
121	figurative
122	figurative
123	nonfigurative
124	nonfigurative
125	figurative
126	figurative
127	nonfigurative
128	nonfigurative
129	figurative
130	nonfigurative
131	nonfigurative
132	nonfigurative
133	nonfigurative
134	nonfigurative
135	nonfigurative
