1	objective
2	negative
3	objective
4	objective
5	objective
6	negative
7	objective
8	objective
9	objective
10	negative
11	negative
12	objective
13	negative
14	objective
15	negative
16	objective
17	negative
18	negative
19	negative
20	negative
21	negative
22	objective
23	objective
24	objective
25	objective
26	negative
27	negative
28	negative
29	objective
30	negative
31	mixed
32	positive
33	negative
34	objective
35	objective
36	negative
37	positive
38	objective
39	objective
40	mixed
41	objective
42	negative
43	negative
44	negative
45	objective
46	objective
47	objective
48	objective
49	negative
50	negative
51	objective
52	mixed
53	negative
54	mixed
55	objective
56	negative
57	negative
58	negative
59	objective
60	negative
61	objective
62	objective
63	negative
64	negative
65	negative
66	negative
67	objective
68	negative
69	negative
70	negative
71	mixed
72	negative
73	objective
74	objective
75	negative
76	negative
77	positive
78	objective
79	negative
80	negative
81	negative
82	objective
83	objective
84	negative
85	negative
86	negative
87	objective
88	negative
89	negative
90	mixed
91	negative
92	negative
93	objective
94	mixed
95	objective
96	objective
97	objective
98	objective
99	objective
100	negative
101	negative
102	negative
103	objective
104	objective
105	objective
106	negative
107	objective
108	objective
109	negative
110	negative
111	negative
112	objective
113	mixed
114	negative
115	negative
116	negative
117	objective
118	negative
119	negative
120	objective
121	negative
122	negative
123	positive
124	mixed
125	positive
126	objective
127	positive
128	negative
129	objective
130	objective
131	negative
132	objective
133	negative
134	negative
135	negative
136	negative
137	negative
138	negative
139	objective
140	negative
141	negative
142	negative
143	objective
144	negative
145	objective
146	positive
147	negative
148	mixed
149	negative
150	negative
151	negative
152	negative
153	negative
154	negative
155	negative
156	positive
157	objective
158	mixed
159	objective
160	negative
161	objective
162	negative
163	mixed
164	objective
165	negative
166	negative
167	objective
168	objective
169	positive
170	negative
171	negative
172	objective
173	objective
174	objective
175	negative
176	objective
177	mixed
178	negative
179	objective
180	objective
181	negative
182	objective
183	objective
184	objective
185	negative
186	objective
187	objective
188	objective
189	negative
190	negative
191	objective
192	objective
193	negative
194	negative
195	objective
196	objective
197	objective
198	negative
199	objective
200	objective
201	objective
202	objective
203	objective
204	negative
205	negative
206	negative
207	negative
208	negative
209	mixed
210	negative
211	negative
212	objective
213	objective
214	mixed
215	negative
216	objective
217	objective
218	negative
219	positive
220	mixed
221	objective
222	mixed
223	negative
224	negative
225	objective
226	objective
227	positive
