1	Affaire Carlton: Souffrant, DSK pourrait ne pas se présenter mardi à Lille devant les enquêteurs http://bit.ly/AmUw61 #Morandini	objective
2	Le parquet de Lille indique que DSK n'a pas décommandé sa convocation de demain et sera "très probablement" placé en gav #Carlton	negative
3	DSK n'est pas tiré d'affaire: Une première audience aura lieu le 15 mars à New York dans la procédure civile int... http://bit.ly/xs4rkl	objective
4	"Si DSK n'avait pas eu cette affaire là, j'aurais voté pour lui." Un instantané de campagne en vidéo ! http://bit.ly/AwIzdL #2012Avelo	objective
5	Sarkozy : "le PS voulait DSK", pas Hollande le "rigolo" - LaDépêche.fr http://bit.ly/zxAD6Q	objective
6	"Je n'ai pas beaucoup de leçons de style à recevoir de quelqu'un qui militait pour que DSK devienne Président de la République" #dpda	negative
7	La leçon d'économie de DSK à Cambridge (attention, pas de parti pris politique ni people, juste de l'eco) http://vsb.li/g23Nn8 via @LesEchos	objective
8	Depardieu : "Je vais jouer DSK car je ne l'aime pas"‎: L'acteur Gérard Depardieu a accepté d'incarner le person... http://bit.ly/wi5Ip4	objective
9	DSK n'est pas le bienvenu au Parlement européen: L'invitation adressée à Dominique Strauss-Kahn par un eurodéput... http://bit.ly/GDT9TG	objective
10	Pour une fois que DSK et ses frasques "passionnantes" ne font pas la une, des éditions spéciales et tutti quanti.. Ca me rassure... un peu!	negative
11	affaire DSK SCANDALE AUX USA Le procureur Vance n'aurait pas dû abandonner» http://www.lefigaro.fr/actualite-france/2012/03/25/01016-20120325ARTFIG00143-le-procureur-vance-n-aurait-pas-du-abandonner.php	negative
12	"DSK relance l'hypothèse du complot" http://is.gd/TWLCEu Il s'ennuie un peu, en ce moment.	objective
13	Dsk insinue que son adversaire politique est derrière l affaire du Sofitel... Faire ce coup là à Hollande c est pas chic à 1 semaine du 1T	negative
14	Carlton - New-York - DSK : "Ce fut l'honneur de la droite républicaine de ne pas commenter." #Clermont	objective
15	DSK dément.Julien Dray l'invite. Des personnalités socialistes font demi tour. JD a le sens de l'amitié mais pas le sens politique.	objective
