1	RT @liberation_info La Corée du Nord ouvre un compte Twitter http://bit.ly/cQaBhq Il était temps ! 	figurative
2	Breivik était sous l'emprise de stupéfiants ah voilà ! c'était la drogue, pas l'extrême-droite qui l'a rendu fou http://www.cyberpresse.ca/international/dossiers/massacre-en-norvege/201108/08/01-4424322-breivik-etait-sous-lemprise-de-stupefiants-illegaux.php	figurative
3	@sormiou12 J'ai hâte de voir qui est aveuglés par la propagande... Kadhafi est tellement bon pour la libye... #Libye 	figurative
4	Quelle influence La #Syrie rejette l’appel de la Ligue arabe pour un arrêt de la violence http://www.gnet.tn/revue-de-presse-internationale/la-syrie-rejette-lappel-de-la-ligue-arabe-pour-un-arret-de-la-violence/id-menu-957.html	nonfigurative
5	Les pays émergents vont prêter de l'argent aux occidentaux via le #FMI #francecu 	figurative
6	@Diakilla972 c'est sûr que la présidence Sarkozy est un succès ! 	figurative
7	"Il y autant de supporters du Real que du Barça à Madrid" dixit le supporter à Getafe.Traître, tu connais rien au football! ha ha ha 	nonfigurative
8	S'il est élu, Hollande veut renégocier l'accord européen un message responsable envoyé aux créanciers du pays http://bit.ly/rOdclM	nonfigurative
9	#WTF @Alkanz 1ère page Google apparaît ce lien : Je ne savais pas qu' @Alkanz était islamiste http://ripostelaique.com/le-sulfureux-site-islamiste-al.html	nonfigurative
10	N'oublions pas Alain #Roche qui attend la famille #Beckham au Bourget depuis samedi... #PSG #EmploiFictif 	figurative
11	http://www.pcinpact.com/news/68158-numericable-box-details-200-mbps.htm 200 Mbits pour les parisiens, de 30 à 100 Mbits pour les autres Mais quelle révolution ! cc @Numericable 	figurative
12	Morandini qui fait ce soir une émission sur "les dérives de la presse people". On aura tout vu ! 	figurative
13	video. Assemblee Nationale ou la vraie cours de recreation... Bref, bravo l'UMP #Letchimy #Gueant http://lelab.europe1.fr/t/alerte-godwin-a-l-assemblee-787	nonfigurative
14	On appelle ça: Possibilité de pleinement s'exprimer? "[News] La Chine interdit le micro-blogging anonyme http://goo.gl/fb/iJO92"	nonfigurative
15	Boutin se rallie à Sarkozy. Tant mieux, entre les deux, je ne savais vraiment pas qui choisir 	figurative
16	Sur son affiche de campagne, Nicolas Sarkozy pose devant une mer... en Grèce ou #foutagedegueule #sarkon http://20min.fr/a/881293	figurative
17	Affaire Carlton: Souffrant, DSK pourrait ne pas se présenter mardi à Lille devant les enquêteurs http://bit.ly/AmUw61 #Morandini	nonfigurative
18	Le parquet de Lille indique que DSK n'a pas décommandé sa convocation de demain et sera "très probablement" placé en gav #Carlton	nonfigurative
19	DSK n'est pas tiré d'affaire: Une première audience aura lieu le 15 mars à New York dans la procédure civile int... http://bit.ly/xs4rkl	nonfigurative
20	"Si DSK n'avait pas eu cette affaire là, j'aurais voté pour lui." Un instantané de campagne en vidéo ! http://bit.ly/AwIzdL #2012Avelo	nonfigurative
21	Sarkozy : "le PS voulait DSK", pas Hollande le "rigolo" - LaDépêche.fr http://bit.ly/zxAD6Q	nonfigurative
22	#inattendu , #insolite RT @LeNouvelObs Présidentielle russe : Poutine récupère les clés du Kremlin http://bit.ly/wQo63R	nonfigurative
23	Je l'aime bien ce gars là ! Poutine annoncé vainqueur de la présidentielle russe via @lemondefr http://www.lemonde.fr/international/article/2012/03/04/les-russes-ont-commence-a-voter-pour-choisir-leur-president_1651619_3210.html#xtor=AL-32280258	nonfigurative
24	"Je n'ai pas beaucoup de leçons de style à recevoir de quelqu'un qui militait pour que DSK devienne Président de la République" #dpda	nonfigurative
25	Ils mettent les pubs au moment où on s'y attend vraiment pas, mais alors pas du tout. #TheVoice 	figurative
26	La leçon d'économie de DSK à Cambridge (attention, pas de parti pris politique ni people, juste de l'eco) http://vsb.li/g23Nn8 via @LesEchos	nonfigurative
27	Depardieu : "Je vais jouer DSK car je ne l'aime pas"‎: L'acteur Gérard Depardieu a accepté d'incarner le person... http://bit.ly/wi5Ip4	nonfigurative
28	DSK n'est pas le bienvenu au Parlement européen: L'invitation adressée à Dominique Strauss-Kahn par un eurodéput... http://bit.ly/GDT9TG	nonfigurative
29	Très sincèrement la chanson "Le changement c'est maintenant" pourrait être LA raison qui m'empêcherait de voter Hollande. #FH2012 	figurative
30	Pour une fois que DSK et ses frasques "passionnantes" ne font pas la une, des éditions spéciales et tutti quanti.. Ca me rassure... un peu!	nonfigurative
31	affaire DSK SCANDALE AUX USA Le procureur Vance n'aurait pas dû abandonner» http://www.lefigaro.fr/actualite-france/2012/03/25/01016-20120325ARTFIG00143-le-procureur-vance-n-aurait-pas-du-abandonner.php	nonfigurative
32	#DSK songe à déménager en Ontario s'il est libéré des accusations de proxénétisme... http://www.ledevoir.com/societe/justice/345944/maisons-closes-la-cour-d-appel-de-l-ontario-invalide-la-loi-federale	nonfigurative
33	Vous me connaissez, je vous assure que je n'ai pas fait exprès d’utiliser les mots parties et préliminaire en parlant de DSK. *siflote*	nonfigurative
34	Oah ce #DSK quel Gentleman quand même.. (via @gsmet cc @lemondefr) http://www.lemonde.fr/societe/article/2012/03/28/affaire-du-carlton-ce-que-revelent-les-proces-verbaux-de-la-garde-a-vue-de-dsk_1676701_3224.html	nonfigurative
35	Je ne savais pas chercher sur google donc j'ai cherché sur google comment faire 	figurative
36	Sarkozy contre Hollande au second tour quel surprise :O on le savait tous avant les résultats 	figurative
37	Si seulement DSK n'avait pas du sang de renoi dans les veines mdr	nonfigurative
38	"DSK relance l'hypothèse du complot" http://is.gd/TWLCEu Il s'ennuie un peu, en ce moment.	nonfigurative
39	Dsk insinue que son adversaire politique est derrière l affaire du Sofitel... Faire ce coup là à Hollande c est pas chic à 1 semaine du 1T	nonfigurative
40	Carlton - New-York - DSK : "Ce fut l'honneur de la droite républicaine de ne pas commenter." #Clermont	nonfigurative
41	DSK dément.Julien Dray l'invite. Des personnalités socialistes font demi tour. JD a le sens de l'amitié mais pas le sens politique.	nonfigurative
42	Qu'est ce que je suis contente que Ségolène Royal ait dit "Au nom de la dignité des femmes, je ne veux pas le rencontrer" #DSK #Bercy	nonfigurative
43	Vomissons tous ensemble et votons Sarkozy ! #NS2012 . Bluaaaarrrrp. 	nonfigurative
44	J'ai bien rigolé quand #sarkozy nous a ressorti DSK, ca alors on s'y attendait pas du tout pauvre de lui il est tombé bien bas! 	figurative
45	François et Valérie dans un bureau du conseil général de Corrèze. Image très sage. Pas sûr qu'avec #DSK on aurait eu la même chose....	figurative
46	Le président est François Hollande, mon père va être contents, ma mère aussi tient! 	figurative
47	Les gens disent que la France vas couler avec Hollande.. Ah par ce que c'est vrai que Sarko a fait du bon boulot hein, ça se voit. 	figurative
48	Un camarade socialiste m'apprend que DSK n'aura pas le secrétariat d'Etat à la Condition féminine. Quoi ?!	nonfigurative
49	Mickael Vendetta quitte la France après l’élection de Hollande . Franchement c'est triste . 	nonfigurative
50	Benoît #Hamon : "Hollande ne changera pas de positon". Voilà une vraie différence avec #DSK...	nonfigurative
51	Gourcuff dans la pré liste ? ça n'a rien à voir avec le fait qu'il est le chouchou de Blanc 	figurative
52	#Syrie L'Armée libre Syrienne protége les observateurs de l' #ONU http://www.trust.org/alertnet/news/syria-attack-kills-21-rebels-say-protect-un-monitors/	nonfigurative
53	Et c'est là qu'un M. d'origine arabe, dit "C'est la faute de Sarkozy !". Merci M. pour cette intervention très constructive, merci 	figurative
54	Ils n'assument pas mais il n'y a pas que Naffissatou qui léchait DSK, beaucoup de journalistes le voyaient comme 1 sauveur, n'oubliez jamais	nonfigurative
55	Il est beau #Hollande face à #Merkel , #Obama , #Cameron et #Barroso ... via @20minutes http://20min.fr/a/937029	nonfigurative
56	Nadine Morano a eu la chance de pouvoir rencontrer Sarkozy! Elle a eu une photo et un autographe. Trop de chance j'suis deg' :'( 	figurative
57	Je ne sais pas ce qui est le plus drôle avec cet habillage... Le titre ou bien le sujet ? #DSK #Quebec	nonfigurative
58	Je prétends ne pas connaître DSK #AujourdhuiJeSuisDeGauche	nonfigurative
59	#Mali : le président D.#Traoré en route pour Paris pour passer des examens médicaux : Bravo #Sanogo et Cie. http://www.rfi.fr/afrique/20120523-mali-le-president-transition-dioncounda-traore-route-paris-passer-examens-medicaux	nonfigurative
